127.0.0.1 - - [07/Oct/2025:15:18:11 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:19:41 +0530] "GET /Portal/login.jsp HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:19:42 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:21:54 +0530] "POST /Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:21:54 +0530] "GET /Portal/recruiter.jsp HTTP/1.1" 200 6641
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:21:54 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:22:05 +0530] "GET /Portal/viewApplications?jobId=4 HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:23:19 +0530] "POST /Portal/login HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:23:55 +0530] "POST /Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:23:55 +0530] "GET /Portal/student.jsp HTTP/1.1" 200 5956
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:23:55 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:26:54 +0530] "POST /Portal/login.jsp HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:30:32 +0530] "POST /Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:30:32 +0530] "GET /Portal/recruiter.jsp HTTP/1.1" 200 6641
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:30:32 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:30:56 +0530] "GET /Portal/viewApplications?jobId=4 HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:31:08 +0530] "GET /Portal/uploads/1759684611229_Resume_DM.pdf HTTP/1.1" 200 673065
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:31:31 +0530] "POST /Portal/login.jsp HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:31:44 +0530] "POST /Portal/login HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:31:56 +0530] "POST /Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:31:56 +0530] "GET /Portal/student.jsp HTTP/1.1" 200 5956
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:31:56 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:32:10 +0530] "GET /Portal/apply.jsp?jobId=4 HTTP/1.1" 200 4619
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:32:10 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:32:45 +0530] "GET /Portal/student.jsp HTTP/1.1" 200 5956
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:32:45 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:35:04 +0530] "GET /Portal/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:40:45 +0530] "POST /Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:40:45 +0530] "GET /Portal/recruiter.jsp HTTP/1.1" 200 6641
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:40:45 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:41:18 +0530] "POST /Portal/postJob HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:41:18 +0530] "GET /Portal/recruiter.jsp HTTP/1.1" 200 6936
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:41:18 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:41:30 +0530] "GET /Portal/viewApplications?jobId=4 HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:41:39 +0530] "GET /Portal/uploads/1759684752804_Lathika_Resume_Fresher_BCA.docx HTTP/1.1" 200 24253
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:42:02 +0530] "POST /Portal/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:42:11 +0530] "POST /Portal/login HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:42:21 +0530] "POST /Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:42:21 +0530] "GET /Portal/student.jsp HTTP/1.1" 200 6277
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:42:21 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:42:30 +0530] "GET /Portal/apply.jsp?jobId=5 HTTP/1.1" 200 4619
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:42:30 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:42:53 +0530] "POST /Portal/apply HTTP/1.1" 200 4653
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:42:53 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [07/Oct/2025:15:42:59 +0530] "POST /Portal/login.jsp HTTP/1.1" 200 2158
