127.0.0.1 - - [09/Feb/2026:21:28:51 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:29:29 +0530] "GET /Portal/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:29:29 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:29:55 +0530] "POST /Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:29:55 +0530] "GET /Portal/student.jsp HTTP/1.1" 200 6277
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:29:55 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:31:23 +0530] "GET /Portal/apply.jsp?jobId=5 HTTP/1.1" 200 4619
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:31:23 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:31:38 +0530] "POST /Portal/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:32:20 +0530] "POST /Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:32:20 +0530] "GET /Portal/recruiter.jsp HTTP/1.1" 200 6936
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:32:20 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:32:44 +0530] "GET /Portal/viewApplications?jobId=2 HTTP/1.1" 200 3199
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:36:14 +0530] "POST /Portal/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:36:55 +0530] "POST /Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:36:55 +0530] "GET /Portal/recruiter.jsp HTTP/1.1" 200 6936
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:36:55 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:38:38 +0530] "POST /Portal/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:39:27 +0530] "POST /Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:39:27 +0530] "GET /Portal/student.jsp HTTP/1.1" 200 6277
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:39:27 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:43:08 +0530] "POST /Portal/login.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:43:37 +0530] "POST /Portal/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:43:37 +0530] "GET /Portal/recruiter.jsp HTTP/1.1" 200 6936
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:43:37 +0530] "GET /Portal/css/style.css HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Feb/2026:21:44:40 +0530] "GET /Portal/viewApplications?jobId=4 HTTP/1.1" 200 3199
